replicate_id,seed,best_epoch,best_val_r2,best_val_mae,best_val_mae_i,best_val_mae_s,best_val_mae_r,training_time_minutes,model_filename,output_dir
1,42,20,0.939078152179718,3116.151123046875,644.4381103515625,4419.92578125,4284.0888671875,0.4176748633384705,best_balanced_mlp_model_1.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
2,123,20,0.9362610578536987,3303.372314453125,655.3847045898438,4681.66162109375,4573.0703125,0.4090114871660868,best_balanced_mlp_model_2.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
3,456,20,0.9322915077209473,3152.46923828125,689.9047241210938,4415.61376953125,4351.89013671875,0.4211819012959798,best_balanced_mlp_model_3.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
4,789,20,0.9369350075721741,3142.153564453125,657.4608154296875,4447.2421875,4321.7578125,0.4102014700571696,best_balanced_mlp_model_4.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
5,1011,20,0.9306211471557617,3289.736572265625,676.7842407226562,4649.38720703125,4543.0390625,0.41574141184488933,best_balanced_mlp_model_5.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
6,1213,20,0.9306086301803589,3393.424560546875,688.2936401367188,4799.9375,4692.04541015625,0.40507977406183876,best_balanced_mlp_model_6.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
7,1415,20,0.9320361614227295,3340.265869140625,693.3719482421875,4705.76513671875,4621.6640625,0.40989641348520917,best_balanced_mlp_model_7.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
8,1617,20,0.9312695264816284,3378.166259765625,676.1729736328125,4769.00439453125,4689.3212890625,0.4089261372884115,best_balanced_mlp_model_8.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
9,1819,20,0.9335553050041199,3114.98486328125,664.1690063476562,4391.275390625,4289.509765625,0.411655580997467,best_balanced_mlp_model_9.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
10,2021,20,0.9355805516242981,3341.29248046875,662.94775390625,4743.431640625,4617.4970703125,0.4158470114072164,best_balanced_mlp_model_10.pt,C:\Users\gmm71\OneDrive - University of Cambridge\Documents\Emulation models\abm-epidemic-emulator\experiments\runs\models\Random_aug
